CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER
AMADOR R RODRIGUEZ JUVENILE BOOT C 031912005,61.0,,,,,,,,,,,,,,1,SAN BENITO CISD 031912
AMANDA GARZA-PENA EL 108909118,714.0,,,,,,,,,,,,,,1,PHARR-SAN JUAN-ALAMO ISD 108909
AMANDA ROCHELL EL 199901103,614.0,31.0,68.0,,,,29.0,,,,,,,,10,ROCKWALL ISD 199901
AMARILLO AREA CTR FOR ADVANCED LRN 188901003,11.0,,,,,,,,,,,,,,16,AMARILLO ISD 188901
AMARILLO COLLEGIATE ACADEMY 221801011,508.0,11.0,12.0,,,,,,,,,,,11.0,14,TEXAS COLLEGE PREPARATORY ACADEMIE 221801
AMARILLO H S 188901001,2150.0,229.0,639.0,,,73.0,172.0,12.0,,,68.0,,,128.0,16,AMARILLO ISD 188901
AMBASSADORS PREPARATORY ACADEMY 084804101,342.0,,,,,,,,,,,,,,4,AMBASSADORS PREPARATORY ACADEMY 084804
AMBER TERRACE DISCOVERY & DESIGN E 057906110,474.0,,,,,,,,,,,,,,10,DESOTO ISD 057906
AMELIA EL 123910101,840.0,99.0,183.0,,,,69.0,,,,,,,50.0,5,BEAUMONT ISD 123910
AMERICAS H S 071909004,2623.0,150.0,315.0,,,56.0,62.0,20.0,,,39.0,,,142.0,19,SOCORRO ISD 071909
AMHERST SCHOOL 140901001,176.0,,,,,,,,,,,,,,17,AMHERST ISD 140901
AMI KIDS RIO GRANDE VALLEY (FKA RG 031906003,34.0,,,,,,,,,,,,,,1,LOS FRESNOS CISD 031906
AMIGOS POR VIDA-FRIENDS FOR LIFE C 101819001,521.0,30.0,46.0,,,,23.0,,,,,,,13.0,4,AMIGOS POR VIDA-FRIENDS FOR LIFE P 101819
AMOS EL 220901124,462.0,,,,,,,,,,,,,,11,ARLINGTON ISD 220901
AMPARO GUTIERREZ EL 240903114,526.0,,,,,,,,,,,,,,1,UNITED ISD 240903
AMY PARKS-HEATH EL 199901106,546.0,19.0,37.0,,,,19.0,,,,,,,,10,ROCKWALL ISD 199901
ANAHUAC EL 036901101,701.0,45.0,82.0,,,,45.0,,,,,,,,4,ANAHUAC ISD 036901
ANAHUAC H S 036901001,407.0,122.0,345.0,,,24.0,120.0,,,,,,,,4,ANAHUAC ISD 036901
ANAHUAC MIDDLE 036901041,324.0,74.0,214.0,,,10.0,70.0,,,,,,,19.0,4,ANAHUAC ISD 036901
ANDERSON ACADEMY 101902101,549.0,25.0,52.0,,,,22.0,,,,,,,,4,ALDINE ISD 101902
ANDERSON ACCELERATED H S 114901003,82.0,16.0,40.0,,,,,,,,,,,14.0,18,BIG SPRING ISD 114901
ANDERSON EL 003903120,339.0,19.0,37.0,,,,,,,,,,,18.0,7,LUFKIN ISD 003903
ANDERSON EL 043905105,708.0,,,,,,,,,,,,,,10,FRISCO ISD 043905
ANDERSON EL 101912105,839.0,12.0,19.0,,,,,,,,,,,12.0,4,HOUSTON ISD 101912
ANDERSON EL 101919109,666.0,48.0,97.0,,,,48.0,,,,,,,,4,SPRING ISD 101919
ANDERSON EL 170902101,673.0,,,,,,,,,,,,,,6,CONROE ISD 170902
ANDERSON EL 220901160,739.0,32.0,66.0,,,,23.0,,,,,,,15.0,11,ARLINGTON ISD 220901
ANDERSON H S 227901009,2281.0,181.0,370.0,,,50.0,100.0,,,,,,,131.0,13,AUSTIN ISD 227901
ANDERSON MILL EL 246909109,618.0,29.0,63.0,,,,27.0,,,,,,,,13,ROUND ROCK ISD 246909
ANDERSON-SHIRO EL 093901101,429.0,22.0,40.0,,,,22.0,,,,,,,,6,ANDERSON-SHIRO CISD 093901
