CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER
SPRINGTOWN MIDDLE 184902041,601.0,118.0,363.0,,,,117.0,,,,,,,12.0,11,SPRINGTOWN ISD 184902
SPRINGTOWN RENO EL 184902107,453.0,,,,,,,,,,,,,,11,SPRINGTOWN ISD 184902
SPUR SCHOOL 063903001,287.0,12.0,20.0,,,,,,,,,,,,17,SPUR ISD 063903
SPURGER EL 229905101,240.0,17.0,49.0,,,,16.0,,,,,,,,5,SPURGER ISD 229905
SPURGER H S 229905001,212.0,39.0,82.0,,,,32.0,,,,,,,,5,SPURGER ISD 229905
SSG MANUEL R PUENTES 071909049,1062.0,139.0,270.0,,,10.0,115.0,,,,,,,59.0,19,SOCORRO ISD 071909
ST ANTHONY ACADEMY 057836101,224.0,,,,,,,,,,,,,,10,ST ANTHONY SCHOOL 057836
ST ANTHONY SCHOOL 057836041,115.0,,,,,,,,,,,,,,10,ST ANTHONY SCHOOL 057836
ST ELMO EL 227901136,312.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
ST LOUIS EARLY CHILDHOOD CENTER 212905130,107.0,,,,,,,,,,,,,,7,TYLER ISD 212905
ST MARY'S ACADEMY CHARTER SCHOOL 013801101,466.0,,,,,,,,,,,,,,2,ST MARY'S ACADEMY CHARTER SCHOOL 013801
ST PHILIP'S COLLEGE EARLY COLLEGE 015907025,243.0,,,,,,,,,,,,,,20,SAN ANTONIO ISD 015907
STAFF SERGEANT LUCIAN ADAMS EL 123907116,503.0,14.0,14.0,,,,,,,,,,,14.0,5,PORT ARTHUR ISD 123907
STAFFORD CENTER 015905125,565.0,,,,,,,,,,,,,,20,EDGEWOOD ISD 015905
STAFFORD EL 015905114,550.0,34.0,56.0,,,,29.0,,,,,,,12.0,20,EDGEWOOD ISD 015905
STAFFORD EL 070907101,388.0,30.0,71.0,,,,30.0,,,,,,,,10,ITALY ISD 070907
STAFFORD EL 079910102,873.0,53.0,81.0,,,,17.0,,,,,,,38.0,4,STAFFORD MSD 079910
STAFFORD H S 079910001,1103.0,177.0,388.0,,,41.0,129.0,11.0,,,31.0,,,85.0,4,STAFFORD MSD 079910
STAFFORD INT 079910103,580.0,111.0,250.0,,,,99.0,,,,,,,48.0,4,STAFFORD MSD 079910
STAFFORD MIDDLE 043905049,914.0,87.0,225.0,,,,82.0,,,,,,,52.0,10,FRISCO ISD 043905
STAFFORD MIDDLE 079910041,554.0,99.0,310.0,,,,81.0,,,,,,,49.0,4,STAFFORD MSD 079910
STAFFORD PRI 079910101,739.0,43.0,151.0,,,,43.0,,,,,,,,4,STAFFORD MSD 079910
STAHL EL 015910125,891.0,47.0,97.0,,,,47.0,,,,,,,,20,NORTH EAST ISD 015910
STALEY MIDDLE 043905041,688.0,101.0,297.0,,,,98.0,,,,,,,27.0,10,FRISCO ISD 043905
STAMFORD H S 127906001,199.0,47.0,109.0,,,,42.0,,,,,,,,14,STAMFORD ISD 127906
STAMFORD MIDDLE 127906041,178.0,22.0,46.0,,,,22.0,,,,,,,,14,STAMFORD ISD 127906
STANLEY C STANLEY EL 101914132,1063.0,14.0,17.0,,,,14.0,,,,,,,,4,KATY ISD 101914
STANTON EL 071902141,471.0,15.0,23.0,,,,11.0,,,,,,,,19,EL PASO ISD 071902
STANTON EL 156902101,570.0,27.0,42.0,,,,27.0,,,,,,,,18,STANTON ISD 156902
STANTON H S 156902001,291.0,42.0,68.0,,,,42.0,,,,,,,,18,STANTON ISD 156902
STANTON MIDDLE 156902041,239.0,43.0,67.0,,,,42.0,,,,,,,,18,STANTON ISD 156902
STANTON-SMITH EL 212906114,630.0,78.0,148.0,,,,77.0,,,,,,,,7,WHITEHOUSE ISD 212906
STARK EL 057903106,792.0,,13.0,,,,,,,,,,,,10,CARROLLTON-FARMERS BRANCH ISD 057903
STARKEY EL 133903102,532.0,25.0,56.0,,,,25.0,,,,,,,,20,KERRVILLE ISD 133903
STARRETT EL 220901140,637.0,67.0,197.0,,,,65.0,,,,,,,12.0,11,ARLINGTON ISD 220901
STARS ACCELERATED H S 111901002,81.0,13.0,26.0,,,,,,,,,,,,11,GRANBURY ISD 111901
STARTZVILLE EL 046902105,486.0,23.0,35.0,,,,23.0,,,,,,,,20,COMAL ISD 046902
STEADHAM EL 057909154,562.0,27.0,59.0,,,,25.0,,,,,,,,10,GARLAND ISD 057909
STEAM MIDDLE 126902043,602.0,31.0,53.0,,,,25.0,,,,,,,11.0,11,BURLESON ISD 126902
STEELE MONTESSORI ACADEMY 015907166,106.0,,,,,,,,,,,,,,20,SAN ANTONIO ISD 015907
STEHLIK INT 101902064,1073.0,318.0,1080.0,,,10.0,282.0,,,,,,,149.0,4,ALDINE ISD 101902
STEINER RANCH EL 246913107,578.0,19.0,43.0,,,,19.0,,,,,,,,13,LEANDER ISD 246913
STELL MIDDLE 031901044,1095.0,58.0,177.0,,,32.0,17.0,16.0,,,18.0,,,49.0,1,BROWNSVILLE ISD 031901
STELLE CLAUGHTON MIDDLE 101919047,1366.0,571.0,2014.0,,,41.0,484.0,34.0,,,12.0,,,350.0,4,SPRING ISD 101919
STEM ACADEMY - LEWISVILLE 221801034,528.0,72.0,103.0,,,,,,,,,,,72.0,14,TEXAS COLLEGE PREPARATORY ACADEMIE 221801
STEP CHARTER EL 101859101,392.0,,,,,,,,,,,,,,4,STEP CHARTER SCHOOL 101859
STEP CHARTER II 101859102,138.0,,,,,,,,,,,,,,4,STEP CHARTER SCHOOL 101859
STEPHANIE CRAVENS EARLY CHILDHOOD 101924107,632.0,,,,,,,,,,,,,,4,SHELDON ISD 101924
STEPHEN C FOSTER EL 057905145,783.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
STEPHEN F AUSTIN 021902041,1279.0,414.0,1678.0,,,85.0,361.0,61.0,,,34.0,,,271.0,6,BRYAN ISD 021902
STEPHEN F AUSTIN EL 057910101,568.0,27.0,49.0,,,,26.0,,,,,,,,10,GRAND PRAIRIE ISD 057910
STEPHEN F AUSTIN EL 079901114,635.0,,,,,,,,,,,,,,4,LAMAR CISD 079901
STEPHEN F AUSTIN EL 101911102,800.0,34.0,49.0,,,,33.0,,,,,,,,4,GOOSE CREEK CISD 101911
STEPHEN F AUSTIN H S 079907007,2367.0,58.0,93.0,,,11.0,33.0,,,,11.0,,,36.0,4,FORT BEND ISD 079907
STEPHEN F AUSTIN PRI 152903101,184.0,,,,,,,,,,,,,,17,SLATON ISD 152903
STEPHEN F AUSTIN STATE UNIVERSITY 174801101,255.0,,,,,,,,,,,,,,7,STEPHEN F AUSTIN STATE UNIVERSITY 174801
STEPHENS EL 061901123,485.0,15.0,33.0,,,,15.0,,,,,,,,11,DENTON ISD 061901
STEPHENS EL 101902119,942.0,70.0,139.0,,,,64.0,,,,,,,10.0,4,ALDINE ISD 101902
STEPHENVILLE H S 072903001,1136.0,163.0,407.0,,,33.0,134.0,13.0,,,23.0,,,51.0,11,STEPHENVILLE ISD 072903
STERLING CITY SCHOOL 216901001,322.0,,,,,,,,,,,,,,15,STERLING CITY ISD 216901
STERLING H FLY JR H S 254901042,314.0,83.0,186.0,,,,75.0,,,,,,,26.0,20,CRYSTAL CITY ISD 254901
STERLING H S 101911003,2501.0,566.0,1713.0,,,84.0,502.0,30.0,,,60.0,,,241.0,4,GOOSE CREEK CISD 101911
STERLING H S 101912014,1560.0,386.0,729.0,,,29.0,132.0,18.0,,,12.0,,,325.0,4,HOUSTON ISD 101912
STEUBING EL 015915161,528.0,36.0,58.0,,,,34.0,,,,,,,,20,NORTHSIDE ISD 015915
STEUBING RANCH EL 015910141,1024.0,26.0,40.0,,,,21.0,,,,,,,10.0,20,NORTH EAST ISD 015910
STEVENS EL 101912245,755.0,28.0,42.0,,,,,,,,,,,25.0,4,HOUSTON ISD 101912
STEVENS H S 015915022,3060.0,480.0,1438.0,10.0,,128.0,268.0,53.0,,,95.0,,,331.0,20,NORTHSIDE ISD 015915
STEVENS PARK EL 057905211,692.0,14.0,23.0,,,,,,,,,,,13.0,10,DALLAS ISD 057905
STEVENSON MIDDLE 015915047,1374.0,286.0,953.0,,,23.0,256.0,,,,,,,119.0,20,NORTHSIDE ISD 015915
STEVENSON MIDDLE 101912098,1433.0,365.0,934.0,,,12.0,332.0,,,,,,,121.0,4,HOUSTON ISD 101912
STEWART CREEK EL 170903104,886.0,20.0,60.0,,,,20.0,,,,,,,,6,MONTGOMERY ISD 170903
STEWART EL 084908103,392.0,57.0,111.0,,,,,,,,,,,20.0,4,HITCHCOCK ISD 084908
STEWART EL 152901180,454.0,33.0,63.0,,,,33.0,,,,,,,,17,LUBBOCK ISD 152901
STEWART EL 170902130,786.0,23.0,35.0,,,,22.0,,,,,,,,6,CONROE ISD 170902
STEWART EL 236902101,560.0,54.0,,,,,51.0,,,,,,,15.0,6,HUNTSVILLE ISD 236902
STEWARTS CREEK EL 061902111,420.0,,,,,,,,,,,,,,11,LEWISVILLE ISD 061902
STILLMAN MIDDLE 031901054,1113.0,113.0,263.0,,,18.0,90.0,22.0,,,,,,58.0,1,BROWNSVILLE ISD 031901
STINSON EL 043910139,691.0,,10.0,,,,,,,,,,,,10,PLANO ISD 043910
STINSON MIDDLE 015915050,1211.0,216.0,530.0,,,11.0,208.0,,,,,,,41.0,20,NORTHSIDE ISD 015915
STOCKDALE EL 247906101,438.0,,11.0,,,,,,,,,,,,20,STOCKDALE ISD 247906
STOCKDALE H S 247906001,256.0,43.0,78.0,,,,43.0,,,,,,,,20,STOCKDALE ISD 247906
STOCKDALE J H 247906041,208.0,41.0,91.0,,,,,,,,,,,,20,STOCKDALE ISD 247906
STOCKDICK J H 101914055,778.0,89.0,165.0,,,,72.0,,,,,,,38.0,4,KATY ISD 101914
STONE OAK EL 015910133,920.0,31.0,51.0,,,,31.0,,,,,,,,20,NORTH EAST ISD 015910
STONEGATE EL 220916110,599.0,33.0,62.0,,,,33.0,,,,,,,,11,HURST-EULESS-BEDFORD ISD 220916
STONEWALL EL 086901103,96.0,,,,,,,,,,,,,,13,FREDERICKSBURG ISD 086901
STONEWALL JACKSON EL 057905162,673.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
STONEWALL/FLANDERS EL 015904105,784.0,,,,,,,,,,,,,,20,HARLANDALE ISD 015904
STONY POINT H S 246909007,2732.0,179.0,386.0,,,71.0,,17.0,,,64.0,,,175.0,13,ROUND ROCK ISD 246909
STORM EL 015907169,469.0,30.0,53.0,,,,15.0,,,,,,,21.0,20,SAN ANTONIO ISD 015907
STORY INT 001907110,815.0,123.0,248.0,,,18.0,118.0,,,,,,,,7,PALESTINE ISD 001907
STOVALL ACADEMY 101902127,721.0,72.0,187.0,,,,69.0,,,,,,,11.0,4,ALDINE ISD 101902
STOVALL MIDDLE 101902044,1032.0,384.0,1700.0,,,43.0,368.0,25.0,,,27.0,,,142.0,4,ALDINE ISD 101902
STRACK INT 101915044,1452.0,265.0,711.0,,,23.0,246.0,,,,,,,72.0,4,KLEIN ISD 101915
STRATFORD H S 101920006,2234.0,209.0,424.0,,,24.0,185.0,,,,,,,49.0,4,SPRING BRANCH ISD 101920
STRATFORD H S 211902001,158.0,,,,,,,,,,,,,,16,STRATFORD ISD 211902
STRATFORD J H 211902041,194.0,10.0,11.0,,,,,,,,,,,,16,STRATFORD ISD 211902
STRAWN SCHOOL 182905001,193.0,,,,,,,,,,,,,,11,STRAWN ISD 182905
STREET EL 204901102,457.0,58.0,116.0,,,,58.0,,,,,,,,6,COLDSPRING-OAKHURST CISD 204901
STRICKLAND MIDDLE 061901044,926.0,163.0,368.0,,,13.0,163.0,,,,,,,25.0,11,DENTON ISD 061901
STRIPLING MIDDLE 220905058,733.0,131.0,254.0,,,,94.0,,,,,,,65.0,11,FORT WORTH ISD 220905
STROMAN MIDDLE 235902041,778.0,289.0,1264.0,,,26.0,232.0,19.0,,,13.0,,,177.0,3,VICTORIA ISD 235902
STUARD EL 184907103,645.0,,15.0,,,,,,,,,,,,11,ALEDO ISD 184907
STUART CAREER TECH H S 101911017,76.0,13.0,29.0,,,,11.0,,,,,,,,4,GOOSE CREEK CISD 101911
STUART PLACE EL 031903111,793.0,23.0,45.0,,,10.0,20.0,,,,,,,,1,HARLINGEN CISD 031903
STUBBLEFIELD ALTERNATIVE ACADEMY 170904003,,39.0,92.0,,,,16.0,,,,,,,22.0,6,WILLIS ISD 170904
STUBBLEFIELD LRN CTR 003902004,33.0,,,,,,,,,,,,,,7,HUDSON ISD 003902
STUBBLEFIELD LRN CTR 003903004,70.0,,,,,,,,,,,,,,7,LUFKIN ISD 003903
STUBBLEFIELD LRN CTR 003905004,18.0,,,,,,,,,,,,,,7,DIBOLL ISD 003905
STUBBLEFIELD LRN CTR 003907004,12.0,,,,,,,,,,,,,,7,CENTRAL ISD 003907
STUCHBERY EL 101917123,780.0,17.0,20.0,,,,17.0,,,,,,,,4,PASADENA ISD 101917
STUDENT ALTERNATIVE CTR 020902002,,27.0,39.0,,,19.0,,,,,,,,11.0,4,ANGLETON ISD 020902
STUDENT SUPPORT CENTER 178904054,,228.0,619.0,,,38.0,35.0,,,,,,,202.0,2,CORPUS CHRISTI ISD 178904
STULTS ROAD EL 057916114,812.0,17.0,19.0,,,,15.0,,,,,,,,10,RICHARDSON ISD 057916
SUCCESS ACADEMY 073903004,28.0,,,,,,,,,,,,,,12,MARLIN ISD 073903
SUCCESS H S 220905021,385.0,35.0,52.0,,,,16.0,,,,,,,23.0,11,FORT WORTH ISD 220905
SUCCESS H S 246909011,612.0,49.0,80.0,,,10.0,,,,,,,,48.0,13,ROUND ROCK ISD 246909
SUDAN EL 140908101,329.0,23.0,30.0,,,,23.0,,,,,,,,17,SUDAN ISD 140908
SUDAN H S 140908001,160.0,28.0,59.0,,,,27.0,,,,,,,,17,SUDAN ISD 140908
SUDDERTH EL 238902107,591.0,64.0,120.0,,,,61.0,,,,,,,21.0,18,MONAHANS-WICKETT-PYOTE ISD 238902
SUDIE L WILLIAMS EL 057905228,226.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
SUE CREECH EL 101914119,795.0,,21.0,,,,,,,,,,,,4,KATY ISD 101914
SUE CROUCH INT SCH 220912111,696.0,100.0,209.0,,,,77.0,,,,,,,59.0,11,CROWLEY ISD 220912
SUE EVELYN RATTAN EL 043902103,637.0,33.0,47.0,,,,30.0,,,,,,,,10,ANNA ISD 043902
SUGAR GROVE ACADEMY 101912163,758.0,223.0,531.0,,,17.0,,,,,,,,222.0,4,HOUSTON ISD 101912
SUGAR LAND MIDDLE 079907043,1302.0,133.0,338.0,,,16.0,108.0,,,,,,,79.0,4,FORT BEND ISD 079907
SUGAR LOAF EL 014906111,508.0,44.0,110.0,,,,38.0,,,,,,,12.0,12,KILLEEN ISD 014906
SUGAR MILL EL 079907119,603.0,11.0,15.0,,,,,,,,,,,,4,FORT BEND ISD 079907
SUL ROSS EL 021902110,559.0,45.0,170.0,,,12.0,44.0,,,,,,,18.0,6,BRYAN ISD 021902
SULLIVAN EL 031912110,426.0,10.0,15.0,,,,,,,,,,,,1,SAN BENITO CISD 031912
SULPHUR BLUFF ISD 112910001,236.0,10.0,11.0,,,,10.0,,,,,,,,8,SULPHUR BLUFF ISD 112910
SULPHUR SPRINGS EL 112901108,706.0,36.0,54.0,,,,35.0,,,,,,,,8,SULPHUR SPRINGS ISD 112901
SULPHUR SPRINGS H S 112901002,1312.0,298.0,1108.0,,,62.0,260.0,,,,,,,81.0,8,SULPHUR SPRINGS ISD 112901
SULPHUR SPRINGS MIDDLE 112901041,1000.0,145.0,335.0,,,11.0,134.0,14.0,,,,,,40.0,8,SULPHUR SPRINGS ISD 112901
SUMMER CREEK H S 101913014,2329.0,172.0,391.0,,,15.0,125.0,,,,,,,96.0,4,HUMBLE ISD 101913
SUMMER CREEK MIDDLE 220912043,880.0,233.0,645.0,,,14.0,193.0,,,,,,,112.0,11,CROWLEY ISD 220912
SUMMERWOOD EL 101913120,787.0,19.0,27.0,,,,19.0,,,,,,,,4,HUMBLE ISD 101913
SUMMIT LEARNING CENTER 057907005,,51.0,85.0,,,,,,,,,,,46.0,10,DUNCANVILLE ISD 057907
SUMMITT EL 227901138,883.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
SUN RIDGE MIDDLE 071909047,986.0,196.0,522.0,,,12.0,179.0,,,,,,,98.0,19,SOCORRO ISD 071909
SUN VALLEY EL 015912102,689.0,34.0,64.0,,,,26.0,,,,,,,16.0,20,SOUTHWEST ISD 015912
SUNDOWN EL 101914110,895.0,11.0,12.0,,,,,,,,,,,,4,KATY ISD 101914
SUNDOWN EL 110907101,298.0,,,,,,,,,,,,,,17,SUNDOWN ISD 110907
SUNDOWN H S 110907001,193.0,19.0,23.0,,,,19.0,,,,,,,,17,SUNDOWN ISD 110907
SUNDOWN J H 110907041,150.0,26.0,70.0,,,,26.0,,,,,,,,17,SUNDOWN ISD 110907
SUNDOWN LANE EL 191901104,311.0,,,,,,,,,,,,,,16,CANYON ISD 191901
SUNNYVALE EL 057919101,730.0,18.0,38.0,,,,18.0,,,,,,,,10,SUNNYVALE ISD 057919
SUNNYVALE H S 057919001,539.0,36.0,57.0,,,,33.0,,,,,,,,10,SUNNYVALE ISD 057919
SUNNYVALE MIDDLE 057919041,586.0,46.0,84.0,,,,36.0,,,,,,,22.0,10,SUNNYVALE ISD 057919
SUNRAY EL 171902101,239.0,,,,,,,,,,,,,,16,SUNRAY ISD 171902
SUNRAY H S 171902001,174.0,,,,,,,,,,,,,,16,SUNRAY ISD 171902
SUNRAY MIDDLE 171902041,168.0,17.0,29.0,,,,15.0,,,,,,,,16,SUNRAY ISD 171902
SUNRISE - MCMILLAN EL 220905169,432.0,29.0,48.0,,,,,,,,,,,29.0,11,FORT WORTH ISD 220905
SUNRISE EL 188901130,304.0,16.0,41.0,,,,15.0,,,,,,,,16,AMARILLO ISD 188901
SUNSET EL 171901104,371.0,,,,,,,,,,,,,,16,DUMAS ISD 171901
SUNSET H S 057905018,2094.0,187.0,328.0,,,58.0,108.0,,,,,,,101.0,10,DALLAS ISD 057905
SUNSET VALLEY EL 220907130,447.0,10.0,25.0,,,,10.0,,,,,,,,11,KELLER ISD 220907
SUNSET VALLEY EL 227901158,577.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
SUSANNA DICKINSON EL 079901115,559.0,,,,,,,,,,,,,,4,LAMAR CISD 079901
SUSIE FUENTES EL 105906108,673.0,,13.0,,,,,,,,,,,,13,HAYS CISD 105906
SUTTON EL 101912248,1214.0,18.0,25.0,,,,16.0,,,,,,,,4,HOUSTON ISD 101912
SUZANNA DICKINSON EL 057910120,449.0,,,,,,,,,,,,,,10,GRAND PRAIRIE ISD 057910
SWEENY EL 020906104,1026.0,76.0,147.0,,,,76.0,,,,,,,,4,SWEENY ISD 020906
SWEENY H S 020906002,652.0,160.0,322.0,,,,155.0,,,,,,,21.0,4,SWEENY ISD 020906
SWEENY J H 020906041,471.0,87.0,198.0,,,,86.0,,,,,,,,4,SWEENY ISD 020906
SWEET HOME EL 143905101,160.0,,,,,,,,,,,,,,3,SWEET HOME ISD 143905
SWEETWATER ACCELERATED H S 177902004,49.0,,,,,,,,,,,,,,14,SWEETWATER ISD 177902
SWEETWATER H S 177902001,544.0,151.0,436.0,,,37.0,139.0,19.0,,,26.0,,,65.0,14,SWEETWATER ISD 177902
SWEETWATER INT 177902104,358.0,76.0,176.0,,,,,,,,,,,21.0,14,SWEETWATER ISD 177902
SWEETWATER MIDDLE 177902041,556.0,165.0,560.0,,,23.0,158.0,,,,,,,83.0,14,SWEETWATER ISD 177902
SWENKE EL 101907153,1205.0,21.0,33.0,,,,21.0,,,,,,,,4,CYPRESS-FAIRBANKS ISD 101907
SWIFT EL 220901113,573.0,29.0,89.0,,,,21.0,,,,,,,20.0,11,ARLINGTON ISD 220901
SYCAMORE EL 220912102,717.0,50.0,149.0,,,,50.0,,,,,,,,11,CROWLEY ISD 220912
SYCAMORE SPRINGS EL 105904104,824.0,,,,,,,,,,,,,,13,DRIPPING SPRINGS ISD 105904
SYCAMORE SPRINGS MIDDLE 105904042,765.0,,,,,,,,,,,,,,13,DRIPPING SPRINGS ISD 105904
T A HOWARD MIDDLE 220908042,968.0,249.0,983.0,,,32.0,207.0,18.0,,,22.0,,,130.0,11,MANSFIELD ISD 220908
T A SIMS EL 220905208,819.0,,,,,,,,,,,,,,11,FORT WORTH ISD 220905
T E BAXTER EL 070908104,642.0,88.0,155.0,,,,86.0,,,,,,,,10,MIDLOTHIAN ISD 070908
T F BIRMINGHAM EL 043914102,529.0,11.0,20.0,,,,11.0,,,,,,,,10,WYLIE ISD 043914
T G MCCORD EL 244903105,358.0,,,,,,,,,,,,,,9,VERNON ISD 244903
T G TERRY EL 057905213,455.0,30.0,50.0,,,,,,,,,,,28.0,10,DALLAS ISD 057905
T H MCDONALD J H 101914045,988.0,100.0,184.0,,,,87.0,,,,,,,30.0,4,KATY ISD 101914
T H ROGERS SCHOOL 101912039,985.0,16.0,20.0,,,,16.0,,,,,,,,4,HOUSTON ISD 101912
T J AUSTIN EL 212905101,454.0,101.0,402.0,,,,101.0,,,,,,,19.0,7,TYLER ISD 212905
T L PINK EL 079901116,626.0,36.0,58.0,,,,18.0,,,,,,,24.0,4,LAMAR CISD 079901
T PRICE EL 108902103,557.0,15.0,33.0,,,,10.0,,,,,,,10.0,1,DONNA ISD 108902
T R U C E LEARNING CTR 220917004,,,13.0,,,,,,,,,,,,11,CASTLEBERRY ISD 220917
T SANCHEZ EL / H OCHOA EL 240901125,738.0,10.0,11.0,,,,10.0,,,,,,,,1,LAREDO ISD 240901
T W BROWNE MIDDLE 057905043,627.0,117.0,181.0,,,,,,,,,,,114.0,10,DALLAS ISD 057905
T W OGG EL 020905108,555.0,20.0,39.0,,,,18.0,,,,,,,,4,BRAZOSPORT ISD 020905
TABASCO EL 108912113,763.0,,10.0,,,,,,,,,,,,1,LA JOYA ISD 108912
TADLOCK EL 043905128,676.0,,,,,,,,,,,,,,10,FRISCO ISD 043905
TAFOLLA MIDDLE 015907061,766.0,199.0,501.0,,,20.0,112.0,,,,,,,142.0,20,SAN ANTONIO ISD 015907
TAFT EL 123908104,462.0,,,,,,,,,,,,,,5,PORT NECHES-GROVES ISD 123908
TAFT H S 015915007,2767.0,299.0,612.0,,,48.0,221.0,19.0,,,32.0,,,138.0,20,NORTHSIDE ISD 015915
TAFT H S 205907001,334.0,112.0,379.0,,,24.0,95.0,,,,,,,47.0,2,TAFT ISD 205907
TAFT J H 205907041,243.0,106.0,480.0,,,12.0,93.0,,,,,,,54.0,2,TAFT ISD 205907
TAG 161920002,30.0,,,,,,,,,,,,,,12,CHINA SPRING ISD 161920
TAHOKA EL 153904101,354.0,15.0,18.0,,,,15.0,,,,,,,,17,TAHOKA ISD 153904
TAHOKA H S 153904001,153.0,20.0,71.0,,,,10.0,,,,,,,,17,TAHOKA ISD 153904
TAHOKA MIDDLE 153904041,136.0,20.0,42.0,,,,19.0,,,,,,,,17,TAHOKA ISD 153904
TALKINGTON SCHOOL FOR YOUNG WOMEN 152901024,471.0,37.0,60.0,,,,37.0,,,,,,,,17,LUBBOCK ISD 152901
TANGLEWOOD EL 220905171,903.0,,,,,,,,,,,,,,11,FORT WORTH ISD 220905
TANGLEWOOD MIDDLE 101912068,873.0,81.0,155.0,,,,32.0,,,,,,,59.0,4,HOUSTON ISD 101912
TANNAHILL INT 220920105,1086.0,181.0,409.0,,,,167.0,,,,,,,56.0,11,WHITE SETTLEMENT ISD 220920
TARKINGTON H S 146907001,557.0,101.0,307.0,,,41.0,80.0,,,,,,,27.0,4,TARKINGTON ISD 146907
TARKINGTON INT 146907102,318.0,54.0,140.0,,,,54.0,,,,,,,,4,TARKINGTON ISD 146907
TARKINGTON MIDDLE 146907041,479.0,94.0,239.0,,,24.0,87.0,,,,,,,,4,TARKINGTON ISD 146907
TARKINGTON PRI 146907101,636.0,34.0,81.0,,,,32.0,,,,,,,,4,TARKINGTON ISD 146907
TARRANT CO COLLEGE SOUTH/FORT WORT 220905086,249.0,14.0,20.0,,,,,,,,,,,14.0,11,FORT WORTH ISD 220905
TARRANT YOUTH RECOVERY 220905242,81.0,,,,,,,,,,,,,,11,FORT WORTH ISD 220905
TARVER EL 014903116,667.0,30.0,56.0,,,,30.0,,,,,,,,12,BELTON ISD 014903
TARVER EL 240901107,531.0,,,,,,,,,,,,,,1,LAREDO ISD 240901
TARVER-RENDON EL 220908103,708.0,42.0,87.0,,,,40.0,,,,,,,11.0,11,MANSFIELD ISD 220908
TASCOSA H S 188901005,2381.0,338.0,968.0,,,81.0,272.0,16.0,,,80.0,,,188.0,16,AMARILLO ISD 188901
TATOM EL 238902108,641.0,12.0,16.0,,,,,,,,,,,,18,MONAHANS-WICKETT-PYOTE ISD 238902
TATUM EL 043904101,254.0,,,,,,,,,,,,,,10,FARMERSVILLE ISD 043904
TATUM EL 201910102,381.0,,,,,,29.0,,,,,,,,7,TATUM ISD 201910
TATUM H S 201910002,508.0,141.0,369.0,,,26.0,128.0,,,,,,,42.0,7,TATUM ISD 201910
TATUM MIDDLE 201910041,405.0,70.0,148.0,,,12.0,65.0,,,,,,,19.0,7,TATUM ISD 201910
TATUM PRI 201910104,434.0,,,,,,,,,,,,,,7,TATUM ISD 201910
TAVOLA EL 170908114,559.0,32.0,79.0,,,,27.0,,,,,,,,6,NEW CANEY ISD 170908
TAYLOR CREEK EL 141901105,573.0,66.0,151.0,,,,66.0,,,,,,,,12,LAMPASAS ISD 141901
TAYLOR EL 043905123,782.0,,10.0,,,,,,,,,,,,10,FRISCO ISD 043905
TAYLOR EL 108907102,664.0,61.0,120.0,,,,55.0,,,,,,,13.0,1,MERCEDES ISD 108907
TAYLOR EL 220906105,495.0,,,,,,,,,,,,,,11,GRAPEVINE-COLLEYVILLE ISD 220906
TAYLOR EL 221901121,724.0,65.0,194.0,,,11.0,58.0,,,,,,,19.0,14,ABILENE ISD 221901
TAYLOR H S 101903003,3448.0,601.0,1336.0,,,91.0,452.0,40.0,,,53.0,,,316.0,4,ALIEF ISD 101903
TAYLOR H S 101914002,3040.0,216.0,389.0,,,22.0,180.0,,,,,,,64.0,4,KATY ISD 101914
TAYLOR H S 246911001,1075.0,182.0,450.0,,,46.0,153.0,43.0,,,,,,62.0,13,TAYLOR ISD 246911
TAYLOR MIDDLE 246911041,763.0,153.0,402.0,,,,144.0,,,,,,,20.0,13,TAYLOR ISD 246911
TAYLOR RAY EL 079901109,674.0,,11.0,,,,,,,,,,,,4,LAMAR CISD 079901
TAYS J H 101914054,1621.0,51.0,79.0,,,,50.0,,,,,,,,4,KATY ISD 101914
TCCSE EARLY COLLEGE H S AT TIMBERV 220908009,67.0,,,,,,,,,,,,,,11,MANSFIELD ISD 220908
TEAGUE EL 081904102,389.0,,52.0,,,,,,,,,,,,12,TEAGUE ISD 081904
TEAGUE EL 101917128,736.0,10.0,23.0,,,,10.0,,,,,,,,4,PASADENA ISD 101917
TEAGUE H S 081904001,430.0,95.0,146.0,,,20.0,83.0,,,,,,,,12,TEAGUE ISD 081904
